기간,지역,발생건수,사망자수,부상자수,맑음,흐림,비,안개,눈,기타/불명,교통안전지수,인구밀도,인구,14세 이하,15~20세,21~30세,31~40세,41~50세,51~60세,61-64세,65~70세,71세이상
2014,영등포구,2193,26,3128,1926,95,153,0,16,3,70.2,17181,421436,119,181,563,653,639,566,157,139,137
2014,동작구,1399,13,1901,1204,85,94,0,13,3,78,25637,419261,92,167,349,410,313,343,84,68,88
2014,관악구,1716,22,2317,1434,56,103,0,14,39.5,77.5,17991,531960,75,160,535,453,356,398,120,109,133
2014,서초구,2217,13,3446,1987,54,157,2,9,8,82.3,9665,454288,114,147,689,686.5,690.75,615,154,133,83
2014,강남구,2506.25,17,3529.5,2201.75,89,206,1,26.5,18,74.1,14770,583446,179,252,716.5,686.5,690.75,664.25,191,172,121
2014,송파구,2506.25,24,3529.5,2002,154,164,1,26.5,39.5,79.6,19831,671794,202,322.25,612,686.5,690.75,664.25,148,177.5,127
2014,강동구,1442,14,2014,1290,51,84,0,7,10,81.2,19577,481332,118,169,307,309,380,431,104,113,97
2015,종로구,1414,8,1933,1232,54,125,0,3,0,71.3,6851,163822,38,85,401,404,370,377,89,78,98
2015,중구,1338,8,1803,1108,111,110,0,4,5,68.95,13486,134329,36,50,337,466,351,317,81,86,87
2015,용산구,1516,18,2110,1350,40,118,0,6,2,76.3,11337,247909,56,99,464,507,358,370,100,81,93
2015,성동구,1227,8,1725,1099,33,86,0,4,5,85.8,18093,305065,51,121,335,352,307,309,73,86,99
2015,광진구,1235,17,1744,1127,27,76,0,2,3,82.1,21987,375180,63,120,396,303,301,330,72,89,87
2015,동대문구,2085,16,2731,1803,106,165,0,2,9,76.7,26301,373824,80,204,490,471,443,533,146,177.5,185
2015,중랑구,1722,16,2269,1495,66,104,0,4,39.5,82.8,22633,418620,126,240,348,354,386,463,116,134,118
2015,성북구,1680,19,2286,1438,113,124,0,1,4,83.9,19104,469560,106,147,431,406,425,409,88,129,164
2015,강북구,1265,16,1684,1025,142,92,0,1,5,76.4,14172,334426,82,150,253,268,300,333,78,93,143
2015,도봉구,914,8,1255,800,29,82,0,3,0,81.4,17056,353241,61,109,171,185,210,267,79,76,105
2015,노원구,1459,15,2098,1308,43,99,1,8,0,85.9,16317,578221,125,207,355,336,382,395,97,105,111
2015,은평구,1203,16,1673,1048,52,94,0,2,7,81.1,16920,502578,105,175,251,263,277,313,87,99,118
2015,서대문구,1071,13,1492,946,61,63,1,0,0,81.4,18351,323105,68,116,291,238,249,275,73,80,115
2015,마포구,1802,17,2730,1613,37,148,0,2,2,80.2,16706,398351,94,197,685,565,446,430,108,117,105
2015,양천구,1596,14,2231,1365,100,107,1,4,19,86.3,28098,489010,123,192,338,395,421,425,113,128,110
2015,강서구,1932,12,2762,1757,43,128,0,2,2,84.5,14376,595691,119,222,470,530,477,533,159,140,123
2015,구로구,1508,19,2127,1297,54,152,0,4,1,77.5,22596,454604,105,176,355,413,369,396,101,102,129
2015,금천구,914,10,1374,796,44,68,0,3,3,78.4,19675,256167,68,107,226,245,249,293,73,59,64
2015,영등포구,2462,27.5,3529.5,2124,115,206,0,14,3,74,17033,417811,113,214,669,686.5,659,664.25,153,170,165
2015,동작구,1386,7,1994,1225,52,98,1,9,1,88.55,25240,412774,69,140,379,416,364,358,94,80,101
2015,관악구,1625,12,2135,1424,44,107,0,11,39,80.4,17891,529031,65,168,472,411,328,384,89,119,111
2015,서초구,2160,20,3358,1900,75,175,1,5,4,78.6,9601,451258,104,165,703,686.5,690.75,554,131,117,104
2015,강남구,2506.25,20,3529.5,2201.75,80,221.5,0,15,8,79,14728,581760,142,235,716.5,686.5,690.75,664.25,219,167,114
2015,송파구,2506.25,16,3529.5,2167,138,200,0,11,39.5,80.3,19704,667480,206.25,305,641,686.5,655,664.25,200,172,147
2015,강동구,1494,23,2129,1308,66,107,1,5,7,78.2,18842,463321,121,156,302,379,407,462,109,104,112
